id,Name,titleProject_id,class,score,login,password
28,Барамыкова Александра Алексеевна,106,10а,3,Барамыкова_АА,E277lS0L
29,Плясулина Оксана Андреевна,346,8х,2,Плясулина_ОА,ciWUpvC6
30,Петрикеев Станислав Яковлевич,14,7и,4,Петрикеев_СЯ,YKCpkUEk
31,Моторыгин Илья Георгиевич,238,10и,5,Моторыгин_ИГ,qKSTC60Q
32,Рыков Тарас Павлович,174,10и,5,Рыков_ТП,jvj3NXMf
33,Иончикова Елизавета Егоровна,169,8д,5,Иончикова_ЕЕ,EEIl6ABC
34,Смолькина Алиса Егоровна,441,7г,5,Смолькина_АЕ,KQiKRZlb
35,Оболенин Герасим Павлович,472,7и,4,Оболенин_ГП,peRPLIqR
36,Трощинский Георгий Борисович,67,9д,3,Трощинский_ГБ,8NadeQnH
37,Поддубская Лиза Игоревна,496,10а,4,Поддубская_ЛИ,Lcbknnsv
38,Телькова Валерия Олеговна,335,7х,4,Телькова_ВО,uPUrysSh
39,Чигварина Александра Алексеевна,428,10б,2,Чигварина_АА,RIn3zK9m
40,Киреевский Артур Игоревич,119,7в,3,Киреевский_АИ,gWgB10YD
41,Шумейкин Роман Павлович,420,8в,5,Шумейкин_РП,IETydwGW
42,Трушинов Максим Алексиевич,82,8и,4,Трушинов_МА,TWT0Na4B
43,Голюков Денис Сергеевич,62,11б,4,Голюков_ДС,GKHjW82k
44,Хлиманкова Надежда Валерьевна,461,10б,3,Хлиманкова_НВ,mxTX5EjT
45,Кулаженков Алексей Олегович,367,10в,2,Кулаженков_АО,BSq9v9DJ
46,Бутукин Владимир Адамович,221,7х,5,Бутукин_ВА,o5NomH95
47,Поддуев Леонид Олегович,149,9х,4,Поддуев_ЛО,jf5O4qvN
48,Ревцев Василий Павлович,360,9х,5,Ревцев_ВП,bgKeEUcO
49,Старокожев Артём Юрьевич,46,8д,3,Старокожев_АЮ,L0D1brUM
50,Светошев Максим Михаилович,321,10х,2,Светошев_ММ,MgL4CnAM
51,Старынина Кристина Федоровна,266,9д,3,Старынина_КФ,2fY85Kxs
52,Востров Дмитрий Денисович,282,9г,3,Востров_ДД,ZkeHcSgk
53,Бураханова Анастасия Леонидовна,16,8г,2,Бураханова_АЛ,DPukOYeN
54,Понизов Виктор Кириллович,214,11и,5,Понизов_ВК,PzhxnXLC
55,Суздалев Валерий Алексеевич,66,11т,5,Суздалев_ВА,hGTwCBLZ
56,Колендин Дмитрий Алексеевич,153,10в,4,Колендин_ДА,udsi5qcH
57,Сулькова Екатерина Андреевна,325,8и,4,Сулькова_ЕА,YGPRPlJv
58,Аржевитова Надежда Федоровна,242,10в,2,Аржевитова_НФ,a56NuADs
59,Крассов Валерий Олегович,201,8х,5,Крассов_ВО,JZKdZqfU
60,Сонураева Инна Андреевна,450,9т,3,Сонураева_ИА,074Xrnbb
61,Пашин Роман Вадимович,204,10д,2,Пашин_РВ,7xZ8WAKV
62,Фичкина Евгения Федоровна,29,11д,3,Фичкина_ЕФ,wyBaMGHV
63,Свилин Олег Виталиевич,123,8в,2,Свилин_ОВ,VFhwDhIE
64,Рогоцкий Андрей Адамович,142,9в,2,Рогоцкий_АА,rwt2SE9X
65,Ахантьев Игорь Валериевич,80,10д,5,Ахантьев_ИВ,NQhHDaaN
66,Сочиникова Ксения Кирилловна,100,10д,2,Сочиникова_КК,12O1hM55
67,Остюков Артур Романович,329,11и,3,Остюков_АР,S0LYK6Mt
68,Брюкина Оксана Викторовна,98,8в,5,Брюкина_ОВ,FN9Ijf3o
69,Кузовенков Игорь Юрьевич,322,9г,None,Кузовенков_ИЮ,ZnJcE35v
70,Калухов Тарас Иванович,207,11а,3,Калухов_ТИ,sokw5RKG
71,Батыров Пётр Виталиевич,227,7и,3,Батыров_ПВ,fggkCZNx
72,Озрина Катерина Валерьевна,147,10а,4,Озрина_КВ,CCcQt8fg
73,Декалова Полина Леонидовна,470,11д,5,Декалова_ПЛ,WVAiZafC
74,Лосицкий Владимир Кириллович,369,9т,5,Лосицкий_ВК,fpX6jFDt
75,Магнусов Пётр Максимович,437,7и,5,Магнусов_ПМ,Th91KNAs
76,Лавренков Михаил Василиевич,188,9б,2,Лавренков_МВ,dnT3utUR
77,Шушкалова Вероника Алексеевна,411,8т,5,Шушкалова_ВА,E7vYLa01
78,Бороданова Маргарита Дмитриевна,118,7г,5,Бороданова_МД,CbOdjYTK
79,Циркина Виолетта Федоровна,231,9г,2,Циркина_ВФ,6GuqFCOr
80,Болохина Екатерина Андреевна,194,11д,3,Болохина_ЕА,SpHGxbad
81,Чукалова Дарья Валерьевна,20,10г,4,Чукалова_ДВ,D5EjHitK
82,Беловолов Степан Петрович,222,9д,2,Беловолов_СП,IUhEjQIm
83,Зудейкина Вероника Ивановна,166,8и,3,Зудейкина_ВИ,4MVlLfKS
84,Макунова Мария Борисовна,47,9в,5,Макунова_МБ,cmTtP2Mm
85,Верзанский Геннадий Андреевич,497,7д,5,Верзанский_ГА,Xwm5GQgW
86,Алтубин Ярослав Леонидович,414,10г,5,Алтубин_ЯЛ,HPBITRtD
87,Аузин Игорь Алексиевич,435,8х,5,Аузин_ИА,Zjuvr9xm
88,Калыгин Степан Тимофеевич,353,8и,2,Калыгин_СТ,qZLkQi6e
89,Дурныгина Полина Игоревна,72,8и,2,Дурныгина_ПИ,CYkewaS0
90,Антюфеева Александра Вадимовна,347,8и,2,Антюфеева_АВ,dw8UtT8K
91,Лощинский Борис Романович,210,10б,3,Лощинский_БР,m6dJHdzx
92,Ходорков Евгений Виталиевич,344,9г,5,Ходорков_ЕВ,3NtGBK2v
93,Кафорин Федор Данилович,427,10д,3,Кафорин_ФД,3RCsuIzM
94,Косынская Алиса Дмитриевна,40,9в,3,Косынская_АД,MKtXIggY
95,Беремцев Артём Антонович,434,11т,2,Беремцев_АА,IyIf7Yxc
96,Влянская Мария Андреевна,490,7т,4,Влянская_МА,v6FrFmR7
97,Мыгеева Лиза Василевна,280,8в,5,Мыгеева_ЛВ,v513TJlB
98,Акутникова Мария Алексеевна,173,11в,2,Акутникова_МА,iIhHL1iW
99,Карябкин Константин Максимович,89,7и,2,Карябкин_КМ,0WlfUmQq
100,Прилепина Яна Максимовна,30,10в,5,Прилепина_ЯМ,YiLFKllj
101,Ведищев Никита Георгиевич,365,7и,5,Ведищев_НГ,kZs87yv9
102,Самчева Вероника Борисовна,287,10г,3,Самчева_ВБ,tlAajioH
103,Пирцхалова Карина Леонидовна,452,10г,5,Пирцхалова_КЛ,Vrb7yaoH
104,Павлочев Денис Борисович,432,11д,5,Павлочев_ДБ,ctybGOZu
105,Арашкова Екатерина Евгеньевна,356,8х,None,Арашкова_ЕЕ,LnZeHmb2
106,Байсарова Людмила Василевна,215,11и,2,Байсарова_ЛВ,MWCPzbh7
107,Кудекина Зинаида Игоревна,250,10и,3,Кудекина_ЗИ,TKzuBF55
108,Дерналов Виталий Викторович,1,9г,4,Дерналов_ВВ,WiSBKPnR
109,Сазинова Галина Романовна,61,9и,3,Сазинова_ГР,keU0GjNv
110,Остаченова Марина Эдуардовна,229,9т,5,Остаченова_МЭ,c9spmAgV
111,Битюкова Яна Егоровна,488,9и,4,Битюкова_ЯЕ,oqBjQoW2
112,Иваницкий Константин Борисович,232,8д,5,Иваницкий_КБ,LdOvsFgZ
113,Белянский Владислав Игоревич,74,11б,5,Белянский_ВИ,o7mrmSF6
114,Баранкин Артём Алексеевич,382,9т,2,Баранкин_АА,e1gAHUog
115,Шкабанова Софья Вадимовна,499,9х,4,Шкабанова_СВ,wjH3h3sk
116,Полозлов Денис Адамович,155,8т,3,Полозлов_ДА,hbudtpRq
117,Жунина Светлана Михайловна,162,8в,3,Жунина_СМ,QR2NKLpW
118,Пантыкин Борис Игоревич,245,9х,2,Пантыкин_БИ,S0iAArmp
119,Доутова Марина Богдановна,189,11х,2,Доутова_МБ,vpXG7N4a
120,Трещалова Яна Андреевна,330,8б,3,Трещалова_ЯА,grlOL313
121,Ивашечкин Александр Данилович,390,10т,4,Ивашечкин_АД,kEmmd8OP
122,Мазьянова Инна Богдановна,416,11в,4,Мазьянова_ИБ,IWafPh2J
123,Корогев Николай Евгеньевич,184,8б,5,Корогев_НЕ,WVpmTctV
124,Заидова Галина Максимовна,88,9т,4,Заидова_ГМ,i3XmDDhk
125,Рамхин Кирилл Алексиевич,459,9х,4,Рамхин_КА,gs84iDwF
126,Кизбабаев Эдуард Фёдорович,415,11т,2,Кизбабаев_ЭФ,rqZMuk9e
127,Соурчаков Ярослав Валериевич,268,8б,2,Соурчаков_ЯВ,L33zcOko
128,Мотяшева Алена Михайловна,404,7т,2,Мотяшева_АМ,5TZjJYpz
129,Горшкова Наталия Яковлевна,340,11а,2,Горшкова_НЯ,OLC1DfZI
130,Зябрицкий Игорь Виталиевич,332,7а,5,Зябрицкий_ИВ,wEWYEVLu
131,Шельдяев Игорь Юриевич,97,7д,5,Шельдяев_ИЮ,UZZ1JSLS
132,Шмелькин Максим Викторович,483,9т,5,Шмелькин_МВ,3gyrxzF8
133,Жалкин Алексей Алексеевич,43,7а,3,Жалкин_АА,deP3xs6h
134,Худасов Денис Максимович,70,10д,2,Худасов_ДМ,gLybEwAi
135,Швичкова Наталья Эдуардовна,398,7г,4,Швичкова_НЭ,70BtmvVU
136,Едская Жанна Валерьевна,436,11в,4,Едская_ЖВ,Bk61s1a1
137,Поморзина Полина Евгеньевна,122,7д,4,Поморзина_ПЕ,mVWJr4lw
138,Будачева Кира Олеговна,55,11х,4,Будачева_КО,zcNL0ejP
139,Молкаев Василий Валериевич,216,8д,2,Молкаев_ВВ,UqXNfDKa
140,Яцынин Константин Тимофеевич,285,7г,2,Яцынин_КТ,HSb7xxFB
141,Маховиков Василий Петрович,391,7х,4,Маховиков_ВП,OqDPqIKv
142,Шаметова Евгения Вадимовна,463,7а,2,Шаметова_ЕВ,b2RYtr0L
143,Законнова Жанна Евгеньевна,442,11и,None,Законнова_ЖЕ,4tmUEpXB
144,Перчихин Аркадий Тимофеевич,164,10т,3,Перчихин_АТ,JYuRLxs1
145,Бурдасова Ксения Игоревна,203,9а,3,Бурдасова_КИ,j2jh9eYM
146,Киссин Степан Иванович,251,7х,5,Киссин_СИ,fFtHHNDn
147,Вапилина Мария Егоровна,77,7д,2,Вапилина_МЕ,SYJpOcKs
148,Сигутина Дарья Федоровна,458,7б,2,Сигутина_ДФ,3NVNYNue
149,Сошьяков Альберт Фёдорович,17,7т,4,Сошьяков_АФ,01yKkRA7
150,Лугахина Клара Вадимовна,419,8в,4,Лугахина_КВ,1zQQLFKe
151,Логецкий Анатолий Виталиевич,372,11б,4,Логецкий_АВ,zfer8Q9a
152,Ковайкова Юлия Егоровна,75,10г,2,Ковайкова_ЮЕ,2FZ00qj7
153,Вермутский Валерий Петрович,447,9и,5,Вермутский_ВП,I9sBRZLc
154,Россомахов Олег Юриевич,56,8в,2,Россомахов_ОЮ,1XhwCnce
155,Циплакова Екатерина Егоровна,471,9б,5,Циплакова_ЕЕ,yGbX8zFL
156,Квятцева Алла Никитична,138,11в,2,Квятцева_АН,xfFs4YfN
157,Выхухолева Лариса Василевна,384,8б,5,Выхухолева_ЛВ,t00dqYoy
158,Целохов Андрей Вадимович,433,8и,5,Целохов_АВ,YrReS0rY
159,Бендин Иван Яковлевич,71,8и,4,Бендин_ИЯ,dhhTfrZE
160,Лазученков Василий Алексеевич,381,7х,2,Лазученков_ВА,erNKCLnx
161,Скоропухов Михаил Василиевич,69,10и,3,Скоропухов_МВ,GebarrWf
162,Мухонкин Тарас Романович,126,9и,4,Мухонкин_ТР,8ZRCdG4d
163,Камерцев Владимир Кириллович,303,7а,3,Камерцев_ВК,u3BO4q91
164,Сандрыкина Анна Олеговна,324,10т,2,Сандрыкина_АО,7mNKgfo2
165,Недбайлов Алексей Денисович,15,7т,2,Недбайлов_АД,wNgkSVl7
166,Серпков Ярослав Георгиевич,380,10б,4,Серпков_ЯГ,khN4Q5l4
167,Хатшуклов Аркадий Николаевич,42,11т,4,Хатшуклов_АН,ATCq3ApY
168,Литвалиева Алиса Егоровна,10,11и,3,Литвалиева_АЕ,VADUovG2
169,Енесина Лиза Валерьевна,293,9б,5,Енесина_ЛВ,8DNcPzaa
170,Пикальков Эдуард Алексиевич,21,8д,5,Пикальков_ЭА,6RBQqLUD
171,Сачинский Валентин Кириллович,125,10т,2,Сачинский_ВК,GhMGNVnA
172,Тарзанова Евгения Аркадьевна,96,9д,2,Тарзанова_ЕА,kiRY3saJ
173,Лапундин Юрий Игоревич,267,8и,5,Лапундин_ЮИ,5o8nzuDa
174,Личева Лиза Михайловна,453,9б,3,Личева_ЛМ,wwqDEgJL
175,Смароверов Яков Борисович,131,11в,4,Смароверов_ЯБ,C5FK3jlo
176,Вереина Алла Василевна,295,10и,3,Вереина_АВ,6b8uHDmC
177,Погиблева Дарья Леонидовна,283,9в,5,Погиблева_ДЛ,adwEU6qC
178,Байнова Анастасия Вадимовна,363,7б,3,Байнова_АВ,6qsHt5D5
179,Шиловский Вячеслав Максимович,438,9и,4,Шиловский_ВМ,kSK1Npr3
180,Сыждиков Пётр Василиевич,494,11х,5,Сыждиков_ПВ,5T9e6FYw
181,Каценова Алёна Эдуардовна,165,11т,2,Каценова_АЭ,sC6rPGez
182,Мужицких Ева Олеговна,348,8х,3,Мужицких_ЕО,oAkVnm44
183,Плеснецов Степан Юрьевич,22,10а,2,Плеснецов_СЮ,k6PeU1DD
184,Игумнова Алёна Сергеевна,114,9д,4,Игумнова_АС,dEeN00Tj
185,Хадаров Владимир Валериевич,278,11т,5,Хадаров_ВВ,tJuNiYry
186,Ступакова Кира Ивановна,421,8и,3,Ступакова_КИ,ZBFfXEIZ
187,Шоленинов Федор Максимович,286,11т,4,Шоленинов_ФМ,t7lAsnZW
188,Гундаров Руслан Николаевич,158,9д,4,Гундаров_РН,5k4FsvOE
189,Гречишева Марина Андреевна,464,7д,2,Гречишева_МА,8urqzF9r
190,Утилова Алена Андреевна,253,11д,3,Утилова_АА,lUNufpLa
191,Роткичева Алиса Максимовна,410,10а,4,Роткичева_АМ,LI3ShH7Z
192,Колтышева Марина Вадимовна,87,11г,4,Колтышева_МВ,zLPKRSx4
193,Гурычева Лариса Валерьевна,489,9б,2,Гурычева_ЛВ,YgKZwfkC
194,Горцева Кристина Никитична,246,8и,4,Горцева_КН,phnpe3bZ
195,Кутурин Геннадий Денисович,197,9в,2,Кутурин_ГД,vTDEsd0q
196,Стефанков Яков Евгеньевич,318,10г,3,Стефанков_ЯЕ,U7W6sJvQ
197,Множина Людмила Василевна,90,8б,2,Множина_ЛВ,xgM5HwNH
198,Семисалов Георгий Иванович,316,9в,3,Семисалов_ГИ,V7o3gN4r
199,Рогалов Альберт Валериевич,327,9б,2,Рогалов_АВ,KEI9n1v1
200,Черетаева Анастасия Олеговна,341,9б,2,Черетаева_АО,GcnjttaC
201,Радоминова Любовь Игоревна,25,9и,5,Радоминова_ЛИ,FIVKl03N
202,Шувырина Лиза Андреевна,395,9а,5,Шувырина_ЛА,mAqjWRlv
203,Калиженков Семён Алексеевич,401,11а,4,Калиженков_СА,zzYEMd1u
204,Старокашин Константин Петрович,309,10а,3,Старокашин_КП,7KI21PUr
205,Малтоцов Аркадий Яковлевич,218,8а,3,Малтоцов_АЯ,6YiINrmD
206,Кузеванова Ева Егоровна,116,7д,2,Кузеванова_ЕЕ,AYJotVp3
207,Нурулина Алёна Егоровна,284,9х,2,Нурулина_АЕ,uGUh38ud
208,Лератов Герасим Сергеевич,374,10а,4,Лератов_ГС,4YlBjzVQ
209,Людин Руслан Аркадиевич,498,7и,3,Людин_РА,Gng0UlBI
210,Пурин Виктор Данилович,154,8и,5,Пурин_ВД,gwdEgdpi
211,Лютов Виктор Юрьевич,288,11г,2,Лютов_ВЮ,mZBL4wLg
212,Марюшкина Яна Федоровна,345,10д,5,Марюшкина_ЯФ,7SWJ4dct
213,Томилова Кристина Михайловна,492,11б,3,Томилова_КМ,9NA8n6C2
214,Дистерев Валерий Валериевич,24,7г,3,Дистерев_ВВ,u7jNcG9g
215,Дочкин Геннадий Алексиевич,52,11и,5,Дочкин_ГА,EX8jwkaD
216,Иняхин Руслан Сергеевич,234,7и,5,Иняхин_РС,HRPZcZhh
217,Знайкова Раиса Егоровна,148,11х,3,Знайкова_РЕ,u5MGoBAu
218,Кашавцев Аркадий Леонидович,58,7а,4,Кашавцев_АЛ,Jq79QdYd
219,Пятернина Кристина Андреевна,445,7и,2,Пятернина_КА,q0wHLaRf
220,Гусеева Карина Викторовна,263,9и,2,Гусеева_КВ,IXNcceCl
221,Кастева Яна Сергеевна,108,7и,2,Кастева_ЯС,XGDoeKJd
222,Гришанин Тарас Павлович,113,10т,2,Гришанин_ТП,t6mg0Mo9
223,Грамоткин Илья Викторович,195,8д,5,Грамоткин_ИВ,5KscN0a4
224,Мелисин Геннадий Василиевич,465,10г,2,Мелисин_ГВ,TlIXGhDT
225,Цинина Светлана Яковлевна,105,11г,5,Цинина_СЯ,6FPKbg2y
226,Петов Георгий Адамович,57,9а,2,Петов_ГА,VEJo13t2
227,Реева Валентина Максимовна,146,11и,5,Реева_ВМ,nqhH5rwO
228,Слесивых Мария Аркадьевна,35,7и,5,Слесивых_МА,IqmCRWVD
229,Афтаева Полина Ивановна,193,10д,5,Афтаева_ПИ,wPEVttSH
230,Кривицкий Валентин Виталиевич,208,8х,5,Кривицкий_ВВ,kE8KeurF
231,Чубатов Константин Леонидович,279,11а,4,Чубатов_КЛ,gxMnsbS3
232,Партенков Геннадий Павлович,418,8х,3,Партенков_ГП,3MGjsSyt
233,Черушев Григорий Борисович,84,7г,4,Черушев_ГБ,O37GrG9a
234,Тютекин Георгий Тимофеевич,262,7а,2,Тютекин_ГТ,SL2oj1w7
235,Янкевский Вячеслав Адамович,167,11г,4,Янкевский_ВА,USgVqEFm
236,Сухручкина Клавдия Аркадьевна,177,7в,4,Сухручкина_КА,8pWMo8Bm
237,Конофалова Клара Петровна,95,11д,5,Конофалова_КП,U54kDdZ8
238,Лигасов Михаил Павлович,491,11г,4,Лигасов_МП,n3XVA6Sv
239,Писарьков Альберт Игоревич,313,8в,4,Писарьков_АИ,olwdYobs
240,Варов Кирилл Иванович,28,8а,5,Варов_КИ,e4d97vt6
241,Пурынов Евгений Петрович,244,9и,3,Пурынов_ЕП,xjHCDVxu
242,Супрутская Вероника Викторовна,187,9а,2,Супрутская_ВВ,KV0sS7gN
243,Скроцкая Алина Федоровна,127,8г,3,Скроцкая_АФ,dXtoVZlB
244,Барадулин Вадим Юрьевич,281,11х,3,Барадулин_ВЮ,1aZ5r8jh
245,Точилин Дмитрий Фёдорович,476,8а,2,Точилин_ДФ,fQibQxwQ
246,Бикмуллин Руслан Валериевич,333,11т,2,Бикмуллин_РВ,SVrm9IqB
247,Серпичев Василий Алексиевич,394,10х,5,Серпичев_ВА,ETPBQGal
248,Вострышев Яков Аркадиевич,343,8г,5,Вострышев_ЯА,cPTHbcdr
249,Грушчева София Евгеньевна,480,11в,None,Грушчева_СЕ,8rYrLQCs
250,Кулапов Александр Юрьевич,109,9б,5,Кулапов_АЮ,CgJ6hIT2
251,Чибисенков Владислав Фёдорович,375,8х,3,Чибисенков_ВФ,eulp1Edg
252,Утилов Роман Василиевич,254,9х,2,Утилов_РВ,wNFDps0M
253,Татаурова Галина Федоровна,145,10т,4,Татаурова_ГФ,B1CrTkyk
254,Визавитина Наталия Леонидовна,101,10г,2,Визавитина_НЛ,zR1PSCGj
255,Мягченков Артём Денисович,115,7б,4,Мягченков_АД,uU7qqdsC
256,Брикова Инна Богдановна,256,9б,4,Брикова_ИБ,a775EfxJ
257,Наторкин Валентин Данилович,319,7и,2,Наторкин_ВД,n7vLVIpK
258,Эштрекова Софья Алексеевна,76,9в,3,Эштрекова_СА,A8BzK24y
259,Кутаманова Кира Андреевна,182,10т,2,Кутаманова_КА,5srQjsGM
260,Кыштымова Евгения Эдуардовна,255,8в,5,Кыштымова_ЕЭ,UBFAGM3l
261,Ккнязева Клавдия Дмитриевна,34,7б,5,Ккнязева_КД,WPfm9w5k
262,Глаголина Алиса Никитична,249,9д,2,Глаголина_АН,NVJDxDMv
263,Рисина Раиса Валерьевна,451,10а,4,Рисина_РВ,qEIs5xGe
264,Ребров Алексей Георгиевич,289,8и,3,Ребров_АГ,IQcjUNu9
265,Вырысалова Александра Евгеньевна,39,11и,2,Вырысалова_АЕ,SWeffqEX
266,Гомольский Владимир Юриевич,314,11х,5,Гомольский_ВЮ,Q6FklZLt
267,Швинова Марина Федоровна,271,8г,5,Швинова_МФ,DemNcu7p
268,Рудковская Инна Дмитриевна,6,7т,3,Рудковская_ИД,sWPm24Mb
269,Решеткина Дарья Василевна,408,10и,3,Решеткина_ДВ,rNuZr2EX
270,Евстихеев Игорь Василиевич,422,10х,5,Евстихеев_ИВ,2sE9oj1P
271,Лазарина Алёна Федоровна,161,8б,3,Лазарина_АФ,mJFrUstr
272,Гляченков Григорий Николаевич,431,10а,5,Гляченков_ГН,Y32C1rTc
273,Чардынцева Алина Вадимовна,135,10д,3,Чардынцева_АВ,TYPcMtZn
274,Скаредов Яков Иванович,337,9т,5,Скаредов_ЯИ,ubm2VppJ
275,Юрицкий Эдуард Денисович,192,7д,3,Юрицкий_ЭД,qn7ayrqD
276,Кравчина Светлана Аркадьевна,413,11г,5,Кравчина_СА,RpUErzv4
277,Чмареткова Полина Вадимовна,449,10а,2,Чмареткова_ПВ,gKWWzHsb
278,Углова Галина Романовна,260,9г,3,Углова_ГР,2fU7HX4H
279,Згуровская Виктория Андреевна,220,9т,4,Згуровская_ВА,3wvJZMGX
280,Секерский Станислав Сергеевич,235,10а,4,Секерский_СС,7VnwqYIp
281,Жевайкин Евгений Адамович,86,11г,3,Жевайкин_ЕА,LJAdnMeJ
282,Коточигов Семён Игоревич,26,9д,5,Коточигов_СИ,oTUc9Zp7
283,Калонин Альберт Денисович,297,8б,2,Калонин_АД,MIxzYzsc
284,Валягин Григорий Антонович,94,10в,4,Валягин_ГА,9e4TeNx4
285,Коцева Кристина Николаевна,412,9г,3,Коцева_КН,rcOHLKbJ
286,Голина Кристина Максимовна,3,7х,3,Голина_КМ,NSfuwNpX
287,Батрамеев Анатолий Романович,354,9х,3,Батрамеев_АР,Z1Y0PyAz
288,Чикмарев Валентин Валериевич,306,9и,5,Чикмарев_ВВ,R3ZHvIdy
289,Киницына Валерия Олеговна,202,7х,4,Киницына_ВО,3HrwbBNK
290,Числин Юрий Денисович,121,7в,2,Числин_ЮД,ZmDJaetd
291,Стебунова Юлия Романовна,358,9т,3,Стебунова_ЮР,T4yDE1Sc
292,Кацов Павел Павлович,236,10г,5,Кацов_ПП,5HBp70EE
293,Гоцев Тарас Викторович,41,8в,3,Гоцев_ТВ,IokJ03sf
294,Мотовицкий Роман Аркадиевич,31,11и,5,Мотовицкий_РА,VDt5uQ5g
295,Чурзина Клара Егоровна,308,10б,3,Чурзина_КЕ,u4VobYs3
296,Щепалкина Валерия Сергеевна,134,9б,4,Щепалкина_ВС,JNEXm73x
297,Утимишев Ярослав Игоревич,239,11а,3,Утимишев_ЯИ,LdcZPdjU
298,Алуханов Кирилл Фёдорович,298,7т,2,Алуханов_КФ,vrsX1D45
299,Полунеев Валентин Валериевич,307,8и,2,Полунеев_ВВ,jFFyfEZW
300,Крупенова Наталия Андреевна,209,7в,5,Крупенова_НА,09Sz1E36
301,Корнюшин Илья Юрьевич,44,10т,3,Корнюшин_ИЮ,DlaTo2Mv
302,Паушева Виолетта Никитична,310,8г,4,Паушева_ВН,pvAOF7Da
303,Берзин Герасим Антонович,349,11т,5,Берзин_ГА,qjjb0DHB
304,Шулунова Алла Алексеевна,54,7д,4,Шулунова_АА,tEj2hCte
305,Трепашова София Яковлевна,399,11а,2,Трепашова_СЯ,GxiaCvQ7
306,Чумейкин Константин Антонович,8,8б,5,Чумейкин_КА,Z2kpZwBd
307,Польшиков Денис Игоревич,495,9и,2,Польшиков_ДИ,1fO0GeMu
308,Медоусова Жанна Романовна,252,7б,2,Медоусова_ЖР,qYFJWwMi
309,Акуратова Клавдия Андреевна,92,9г,5,Акуратова_КА,aS8THLvY
310,Курмеева Елизавета Валерьевна,486,8а,5,Курмеева_ЕВ,iKUXolB2
311,Бадов Александр Аркадиевич,217,10г,3,Бадов_АА,1BryRC3Y
312,Бакушин Эдуард Адамович,265,7б,5,Бакушин_ЭА,pRvM9glX
313,Чебина Инна Сергеевна,273,10т,2,Чебина_ИС,8ezpDMSV
314,Подледнова Наталья Ивановна,112,11и,3,Подледнова_НИ,DxEjFLkY
315,Садгеева Лиза Евгеньевна,460,11г,3,Садгеева_ЛЕ,DpQS5Ukj
316,Акушин Борис Павлович,493,9т,2,Акушин_БП,3Ape82hr
317,Аришев Руслан Кириллович,379,10т,3,Аришев_РК,xNEHoC94
318,Гуслова Кристина Олеговна,389,9в,2,Гуслова_КО,tsalMpom
319,Глоточкина Оксана Аркадьевна,370,9и,5,Глоточкина_ОА,Je1gqLiw
320,Шапина Маргарита Романовна,163,8б,5,Шапина_МР,cYKRByb7
321,Дурылин Георгий Валериевич,261,11т,4,Дурылин_ГВ,gkhDB7V0
322,Болкисева Анна Викторовна,248,7х,4,Болкисева_АВ,RQeYd8zy
323,Багапов Вячеслав Сергеевич,99,7д,4,Багапов_ВС,aBpyVcEA
